Identifier,Title,Description,Lifecycle,Topic,Validation of Goal,Possible Solution,Date of Creation,Creator,Origination Institute,External,Responsibility,Req. Type,Parent Requirement,Linked Terms,Benefit of Requirement
1,📜Links between metadata records,"Help users to traverse semantically linked metadata records that are similar, different, related, etc. This can involve data from the same or different project, a similar purpose or an explicitly specified difference. This can be achieved using an explicit field for links in the metadata schema",Design,Metadata Schema,,Provide a generic metadata module in the schema that focuses on relations to other datasets and think about a good collection of relations between them.,2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"http://purl.org/dc/elements/1.1/relation, http://purl.org/dc/terms/isReferencedBy, http://purl.org/dc/terms/isRequiredBy, http://purl.org/dc/terms/references, http://purl.org/dc/terms/requires, https://datacite-metadata-schema.readthedocs.io/en/4.6/properties/relatedidentifier/, https://datacite-metadata-schema.readthedocs.io/en/4.6/properties/relateditem/, DCAT also uses DC terms",Low
2,📜The metadata schema reuses agreed upon terms and semantics,It is vital to not create duplicate definitions to improve interoperability. This should be done using pre-existing ontologies wherever possible,Design,Metadata Schema,,Importing / Referencing of all ontologies that provide useful terms or semantics,2024-09-17,,,No,Measure 4.3 Team,Non-Functional,,"https://schema.org/sameAs, http://www.w3.org/2004/02/skos/core#related, http://www.w3.org/2004/02/skos/core#exactMatch (and other match types)",High
3,📜Fields in the schema shall use controlled vocabularies as much as possible,"Prevent the interoperability issues that arise with custom human input, by using controlled vocabularies for user input where possible",Design,Metadata Schema,,"Use either ENUM like instances of a type in OWL or specify a base class for terms as child classes, use public identifiers of a certain pattern (e.g. purl, DOI, orcid, etc.) - multiple solutions will be necessary. Consider using Terminology services or special term lookup services like the DBpedia Lookup",2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"https://json-schema.org/draft/2020-12/json-schema-validation#name-pattern, http://www.w3.org/ns/shacl#class, http://www.w3.org/ns/shacl#nodeKind, http://www.w3.org/ns/shacl#sparql",High
4,📜Fields need to be categorized by importance,"To allow users to quickly grasp which metadata fields are more important we need to cluster them into mandatory, optional, etc.",Design,Metadata Schema,,Additional attribute for all metadata fields (compare OEM Badges),2024-10-22,,,No,Measure 4.3 Team,Non-Functional,,"https://datacite-metadata-schema.readthedocs.io/en/4.6/properties/overview/#levels-of-obligation, https://www.dcat-ap.de/def/dcatde/3.0/spec/#verbindlichkeitsstufen",Medium
5,📜Modularity,To ensure a good quality of metadata for a given entity it is important to have specifically tailored sets of metadata fields. It makes sense to group several fields together if they always appear in a common context. Each of these modules needs to have a precise and limited scope. Smaller is often better in this context.,Design,Metadata Schema,,Cluster metadata fields in modules and allow one entity to be annotated by a set of these modules. A strategy to find the correct modules needs to be worked out,2024-10-22,,,No,Measure 4.3 Team,Non-Functional,,"http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#inScheme",High
6,📜Language,"Since key value maps only see a key equal if it matches 100% it is necessary to have all keys in a common language. We propose to use only English names for the keys. If a serialization format allows multiple languages also other languages can be supported, but English must have the highest priority",Design,Metadata Schema,,Just use English keys for the fields and perform translations only with annotation properties,2024-10-22,,,No,Measure 4.3 Team,Non-Functional,,"http://purl.org/dc/elements/1.1/language, https://datacite-metadata-schema.readthedocs.io/en/4.6/properties/language/, Note that these links are focusing on a language of a resource while this requirement focuses more on the design of the metadata schema",High
7,🔧 Metadata Schema Implementation Tools,The Metadata schema shall be created and maintained using state-of-the-art tools of the semantic web domain,Design,Tooling,,The core metadata schema shall be edited in Protégé. The metadata schema shall be stored on GitHub in a dedicated repository in the NFDI4Energy organization.,2024-09-23,,,No,Measure 4.3 Team,Non-Functional,,"https://protege.stanford.edu/, https://github.com",High
8,🔧 Metadata Schema Improvement Tools,"To enhance the interoperability of the metadata schema with other metadata schemas and improve the overall quality of metadata, it is important to try to reuse existing terms. Finding these can be aided with the use of terminology search and cross-walks between metadata standards. The used design tools shall assist the developer in applying these mechanisms.",Design,Tooling,,"Protégé can be used to edit the metadata schema. Protégé could have useful plugins for terminology search from important other metadata standards. Otherwise, a plugin might be configurable against a DBPedia Lookup or the NFDI terminology service that was initialized with common metadata standards.",2024-09-23,,,No,Measure 4.3 Team,Non-Functional,,It seems existing plugins are too old to work,Medium
9,📜Provided schema files,"A formalized specification of the schema is necessary. The preferred format is in a semantic format like Turtle/Notation3. Additionally, the schema files shall be provided as JSON schema (both plain JSON and JSON-LD) as a convenience for external use cases. Only the semantic format can be considered the root schema and the others most be updated on every change respectively. These types of formats are prioritized because of their validation and form generation capabilities",Implementation,Metadata Schema,,JSON-Schema files can be generated from an OWL/SHACL specification of the root schema,2024-09-23,,,No,Measure 4.3 Team,Non-Functional,,N/A,High
10,📝Metadata serialization formats shall be storable in a way that supports SPARQL federation,"Metadata shall be queried easily among federated SPARQL endpoints, to improve findability. Queries should function with either native or virtual endpoints.",Implementation,Metadata Record,,Triple store databases easily provide SPARQL endpoints and therefore federation capabilities. Alternatively metadata can be stored in a way that allows for virtual SPARQL endpoints to achieve the same effect.,2024-09-19,,,No,Measure 4.3 Team,Non-Functional,,"https://schema.org/SearchAction, https://schema.org/EntryPoint, https://schema.org/query, https://schema.org/includedInDataCatalog, http://edamontology.org/data_2080, http://edamontology.org/format_3748, http://edamontology.org/format_2195",High
